 ,Area,X,Y,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Distance_to_Center,Center_to_Edge,Distance_Ratio,Distance_to_Periphery
30,0.0811,66.1196,51.6845,1.0,0.382,1158.0,906.0,153.4349,0.2847,1.2299,0.813,0.9091,2.90521282697154,6.438145386200526,0.4512499567342098,3.5329325592289864
31,0.0454,72.1119,52.404,0.9925,0.3321,1264.0,919.0,149.0362,0.2278,1.3713,0.7293,0.8485,3.3669478715893493,6.615517586325055,0.5089470064366802,3.2485697147357055
32,0.0162,73.6731,52.3405,1.0,0.2053,1292.0,920.0,33.6901,0.1139,1.553,0.6439,0.9091,4.837689615922052,6.497781268576489,0.7445140757995807,1.6600916526544367
33,0.0227,63.6064,52.5586,0.8001,0.2416,1116.0,921.0,135.0,0.1708,1.2665,0.7896,0.7778,5.548997635609514,6.478912685562784,0.8564705074625507,0.9299150499532693
34,0.0292,71.8331,53.0657,1.0,0.2547,1260.0,930.0,116.5651,0.1708,1.3403,0.7461,0.8571,3.425972974207475,6.900746653964556,0.4964640996114841,3.474773679757081
35,0.0389,73.7424,53.284,0.8507,0.2904,1294.0,933.0,101.3099,0.2278,1.1102,0.9007,0.7742,5.211184042038818,6.663713996433238,0.7820239651383766,1.4525299543944197
36,0.133,64.3654,53.969,0.6785,0.6133,1129.0,953.0,68.1986,0.2847,1.9663,0.5086,0.8723,5.395956589892107,6.783491513641462,0.7954541667872582,1.3875349237493557
37,0.0162,67.295,54.049,1.0,0.2053,1180.0,950.0,33.6901,0.1139,1.553,0.6439,0.9091,3.334822717926695,7.731530000267069,0.4313276567266118,4.396707282340374
38,0.1038,69.6434,54.2195,0.9359,0.4591,1222.0,948.0,119.7449,0.3417,1.217,0.8217,0.9143,3.1204516612182887,8.367580928722159,0.3729215991813327,5.247129267503871
39,0.0065,70.1025,54.4134,1.0,0.1273,1230.0,955.0,153.4349,0.0569,2.0,0.5,1.0,3.431909685583237,8.194144381565541,0.4188246540180623,4.762234695982304
40,0.013,65.9453,54.5273,0.8574,0.2053,1157.0,956.0,123.6901,0.1139,2.0313,0.4923,0.8,4.524463568203412,7.294012852650061,0.6202982719669302,2.769549284446649
41,0.1135,66.9647,54.8641,0.9682,0.4591,1174.0,960.0,119.7449,0.3417,1.1807,0.8469,0.9091,4.2070591557523915,7.796211728150023,0.5396286430449077,3.589152572397632
42,0.1459,69.9437,54.9525,0.9984,0.5094,1226.0,961.0,116.5651,0.433,1.1763,0.8501,0.8738,3.9030006021009034,8.322957133907323,0.4689439749966113,4.41995653180642
43,0.12,66.1016,55.0352,1.0,0.4591,1159.0,970.0,60.2551,0.3986,1.1058,0.9043,0.8916,4.818149428982043,7.492589240813849,0.6430553276211219,2.674439811831806
44,0.0162,72.2722,54.9374,1.0,0.2053,1268.0,966.0,56.3099,0.1139,1.553,0.6439,0.9091,5.003393696282551,7.4029168557628235,0.6758678766448178,2.399523159480273
45,0.0876,64.4489,55.2086,0.9929,0.4107,1129.0,972.0,33.6901,0.2847,1.1471,0.8718,0.9474,6.068545955169164,7.084090018589718,0.8566443875281633,1.0155440634205544
46,0.0746,71.5745,56.2135,1.0,0.382,1256.0,984.0,116.5651,0.2847,1.2266,0.8152,0.902,5.671636506335719,7.922977629880742,0.7158465884020285,2.251341123545023
47,0.0584,67.7866,56.4224,1.0,0.3321,1189.0,988.0,120.9638,0.2801,1.2204,0.8194,0.8571,5.385463861172965,8.309680227708625,0.6480951990444996,2.924216366535661
48,0.0065,65.262,56.5774,1.0,0.1273,1145.0,993.0,153.4349,0.0569,2.0,0.5,1.0,6.561217512017107,7.573749404766671,0.8663103518962075,1.0125318927495641
49,0.1038,69.1504,56.7269,0.9359,0.4591,1212.0,993.0,119.7449,0.3417,1.2467,0.8021,0.8767,5.5589430335271475,8.48692624957506,0.6550007470378906,2.9279832160479122
50,0.1038,72.9534,57.1078,0.9912,0.4146,1281.0,999.0,105.9454,0.3417,1.0517,0.9509,0.8889,7.144662287330311,7.67874870634099,0.9304461651975094,0.5340864190106789
51,0.0227,66.4131,57.1225,0.9433,0.2547,1164.0,1004.0,26.5651,0.1139,1.9357,0.5166,0.9333,6.481431664377864,7.988673815708593,0.8113276138065681,1.5072421513307281
52,0.0065,71.8679,57.3747,1.0,0.1273,1261.0,1007.0,153.4349,0.0569,2.0,0.5,1.0,6.843727056217248,8.003480974969847,0.8550938120075974,1.1597539187525987
53,0.0486,70.6283,57.6557,1.0,0.3321,1239.0,1010.0,120.9638,0.2278,1.4352,0.6968,0.8824,6.691540368256028,8.323924907420828,0.8038924476950147,1.6323845391648
54,0.0032,67.967,57.6595,1.0,0.0805,1193.0,1012.0,135.0,0.0569,1.0,1.0,1.0,6.567340954298019,8.394049430109371,0.7823805433812473,1.826708475811352
55,0.094,68.5522,58.2584,1.0,0.4107,1202.0,1020.0,123.6901,0.3417,1.0573,0.9458,0.8923,7.1006384980507224,8.46790371481659,0.8385355735241161,1.3672652167658672
56,0.0324,67.6822,58.2403,1.0,0.2547,1187.0,1021.0,116.5651,0.1708,1.2356,0.8093,0.9091,7.187652490904104,8.364029831217584,0.8593528043237227,1.17637734031348
57,0.094,66.4962,58.7159,1.0,0.4337,1164.0,1030.0,156.8014,0.3242,1.3855,0.7217,0.8529,7.943289490507063,8.158421718686622,0.973630656075696,0.21513222817955935
58,0.0097,69.3717,59.235,1.0,0.1611,1217.0,1041.0,45.0,0.1139,1.4638,0.6831,0.8571,8.073955700274803,8.484446538186232,0.9516184307292269,0.4104908379114285
60,170.4926,68.979,51.1706,0.9701,16.9749,1208.561,1047.5867,88.9647,12.8059,1.3254,0.7545,1.0002,,,,
