 ,Area,X,Y,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Distance_to_Center,Radial_Distance_to_Edge,Shortest_Distance_to_Edge,Distance_Ratio,Inside_Ellipse
28,0.1427,73.2631,-51.7136,0.9964,0.5372,1284.0,904.0,122.0054,0.3986,1.2602,0.7935,0.898,4.318374903826665,2.100664706985266,2.097885643442159,0.6727447041381386,True
29,0.0616,63.579,-51.677,1.0,0.3321,1115.0,905.0,120.9638,0.2847,1.1388,0.8781,0.8636,5.42369255765848,0.9964273891964144,0.9951731958708286,0.84479614128011,True
30,0.0811,66.1196,-51.6845,1.0,0.382,1158.0,906.0,153.4349,0.2847,1.2299,0.813,0.9091,2.90521282697154,3.5506476021660047,3.532527628960919,0.45001171553512886,True
31,0.0454,72.1119,-52.404,0.9925,0.3321,1264.0,919.0,149.0362,0.2278,1.3713,0.7293,0.8485,3.3669478715893493,3.2114101518421987,3.1617511677960177,0.5118219257140717,True
32,0.0162,73.6731,-52.3405,1.0,0.2053,1292.0,920.0,33.6901,0.1139,1.553,0.6439,0.9091,4.837689615922052,1.6357835756987615,1.6269557760110824,0.7473097474449882,True
33,0.0227,63.6064,-52.5586,0.8001,0.2416,1116.0,921.0,135.0,0.1708,1.2665,0.7896,0.7778,5.548997635609514,0.9550713988338098,0.9482668752937099,0.853157862597079,True
34,0.0292,71.8331,-53.0657,1.0,0.2547,1260.0,930.0,116.5651,0.1708,1.3403,0.7461,0.8571,3.425972974207475,3.4179790942565105,3.295221158172494,0.5005840105154885,True
35,0.0389,73.7424,-53.284,0.8507,0.2904,1294.0,933.0,101.3099,0.2278,1.1102,0.9007,0.7742,5.211184042038818,1.411263347319938,1.3895364385427096,0.7868970088629743,True
36,0.133,64.3654,-53.969,0.6785,0.6133,1129.0,953.0,68.1986,0.2847,1.9663,0.5086,0.8723,5.395956589892107,1.4407125472641216,1.4008849368983178,0.7892668902998283,True
37,0.0162,67.295,-54.049,1.0,0.2053,1180.0,950.0,33.6901,0.1139,1.553,0.6439,0.9091,3.334822717926695,4.4743536149260255,4.11010306024806,0.4270389828306607,True
